258, 42.4, 40.0, -32.0
259, 29.0, 43.0, -32.0
260, 27.5, 36.0, -24.0
261, 26.3, 31.0, -21.0
262, 23.5, 25.0, -15.0
263, 82.0, 12.0, -14.0
264, 72.5, 19.0, -26.0
265, 51.0, 35.0, -48.0
266, 38.8, 45.0, -59.0
267, 29.8, 44.0, -55.0
268, 27.8, 34.0, -41.0
269, 25.9, 27.0, -31.0
270, 74.5, 7.0, -22.0
271, 63.5, 11.0, -32.0
272, 51.4, 15.0, -41.0
273, 12.9, 25.0, -43.0
274, 12.2, 19.0, -35.0
275, 11.4, 16.0, -29.0
276, 12.2, 8.0, -15.0
277, 79.6, -5.0, -19.0
278, 72.9, -6.0, -30.0
279, 56.9, -5.0, -49.0
Reflex Blue, 14.9, 32.0, -67.0
280, 15.3, 15.0, -46.0
281, 12.9, 9.0, -41.0
282, 11.0, 2.0, -26.0
283, 75.7, -8.0, -26.0
284, 67.5, -9.0, -36.0
285, 45.1, -5.0, -59.0
286, 23.1, 18.0, -68.0
287, 20.8, 13.0, -56.0
288, 18.8, 8.0, -47.0
289, 12.9, 0.0, -22.0
290, 84.7, -8.0, -13.0
291, 78.8, -11.0, -22.0
292, 69.4, -13.0, -35.0
293, 25.9, 11.0, -67.0
294, 18.8, 4.0, -43.0
295, 14.9, -2.0, -34.0
296, 9.0, -4.0, -14.0
297, 74.9, -20.0, -27.0
298, 68.6, -22.0, -35.0
299, 60.8, -24.0, -44.0
300, 35.7, -10.0, -62.0
301, 27.8, -12.0, -45.0
302, 21.6, -13.0, -28.0
303, 14.9, -9.0, -15.0
304, 83.1, -19.0, -15.0
305, 75.3, -27.0, -26.0
306, 65.9, -35.0, -38.0
Process Blue, 47.5, -33.0, -53.0
307, 38.4, -30.0, -47.0
308, 31.4, -28.0, -33.0
309, 21.2, -19.0, -16.0
310, 77.6, -28.0, -20.0
311, 71.4, -35.0, -27.0
312, 60.0, -45.0, -36.0
313, 51.0, -47.0, -41.0
314, 44.7, -44.0, -36.0
315, 36.5, -37.0, -27.0
316, 25.9, -23.0, -13.0
317, 86.7, -17.0, -6.0
318, 82.0, -26.0, -11.0
319, 74.1, -39.0, -17.0
320, 53.3, -62.0, -25.0
321, 48.2, -56.0, -22.0
322, 40.0, -45.0, -17.0
323, 33.7, -36.0, -13.0
324, 82.7, -21.0, -7.0
325, 75.7, -32.0, -9.0
326, 63.1, -49.0, -11.0
327, 45.5, -64.0, -7.0
328, 39.6, -53.0, -7.0
329, 36.1, -46.0, -7.0
330, 30.2, -27.0, -4.0
331, 86.7, -23.0, -1.0
332, 83.9, -31.0, -1.0
333, 78.4, -47.0, -2.0
Green, 57.6, -77.0, 0.0
334, 51.8, -67.0, 0.0
335, 43.1, -52.0, 2.0
336, 36.1, -39.0, 2.0
337, 80.0, -27.0, 4.0
338, 76.1, -35.0, 4.0
339, 63.5, -54.0, 8.0
340, 51.8, -65.0, 15.0
341, 43.1, -48.0, 10.0
342, 36.9, -39.0, 8.0
343, 31.8, -27.0, 6.0
344, 82.0, -25.0, 12.0
345, 80.0, -29.0, 13.0
346, 74.9, -38.0, 16.0
347, 53.7, -64.0, 31.0
348, 46.7, -54.0, 26.0
349, 38.4, -37.0, 20.0
350, 31.0, -20.0, 12.0
351, 85.1, -28.0, 13.0
352, 83.1, -35.0, 15.0
353, 81.6, -40.0, 17.0
